"**«Кто-нибудь еще сомневается, что Криштиану был прав насчет тен Хага?».** **Новый твит Пирса Моргана после фиаско «МЮ»

**Не подбирал выражений в сторону голландца 🔥🗣
"**Он ничего не боится: Мостовой отреагировал на слова Карпина, за которые его называют предателем, и ругают депутаты

**Оказывается, эту фразу первым сказал сам Царь 😳👇

https://sprts.cc/1yqyWg

@sportsru",0
"**Даже мама Магуайра заступилась за него – после новой волны хейта. **Называет это позором и абьюзом

Человек-паук тоже 😮

https://sprts.cc/ZkioWv

@sportsru",0
"👀 **Жене хоккеиста Евгения Малкина предложили поработать на OnlyFans. Она показала скриншоты**

И достойно ответила 😉

https://sprts.cc/UJgKWb

@sportsru",0
"**Странная сделка «Зенита»: могли купить игрока за 72 млн, а заплатили 85. И сразу отдали в аренду**

Сложная схема 🤯

https://sprts.cc/64WPf0

@sportsru",0
"✅ **Кого подписали после закрытия окна в топ-лигах?** Новые клубы Верратти, Коутиньо, Вейналдума, Шмейхеля и других

Трансферы не закончились 1 сентября 😮

https://sprts.cc/A44Ueq

@sportsru",0
"**Захарян заявил, что переход в «Сосьедад» был для него интереснее, чем в «Челси». Арсен все объяснил**

Слова игрока👇

https://sprts.cc/78uFhS

@sportsru",0
"💰 **До 0,5 млн рублей в месяц получает самый высокооплачиваемый игрок Медиалиги –** экс-футболист сборной России

На 2-м месте **–** легенда медиафутбола 🤔

[https://sprts.cc/xDBAEn](https://sprts.cc/xDBAEn)

@sportsru",0
"❗️**«Реал» выступил с заявлением относительно сексуального скандала – **арестованы 4 игрока из системы клуба

Позиция мадридцев👇

https://sprts.cc/r6WFh4

@sportsru",0
"💇‍♂️ **У Уткина теперь желтые волосы – в честь «Эгриси». Вот как он менялся в «Футбольном клубе» с 1994-го**

А помните, сколько раз он обещал побриться налысо? 😉

https://sprts.cc/bV6nnx

@sportsru",0
"**Лукаку заявил, что женщинам непросто его соблазнить. Но Ромелу объяснил, что может его заинтересовать**

«Все остальное я уже видел, понимаете?» 😮

https://sprts.cc/Tkzh2B

@sportsru",0
"**«Я сказал: «Вы дебилы совсем, что ли?» Карпину не понравился 1 вопрос от потенциального работодателя**

Был очень резок 😠

https://sprts.cc/poKUfJ

@sportsru",0
"🍿 «Ман Сити» гениально объявил о продлении Уокера – сделал пародию на знаменитую сцену из «Волка с Уолл-стрит»

Актерская игра на уровне Ди Каприо 😅🎬

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"❗️**Поступок Санчо, после которого его отстранили от основы. **Джейдон оказался слишком принципиальным

Инсайд The Athletic:

https://sprts.cc/mnuIlN

@sportsru",0
"**1 деталь, которую заметили болельщики в публикации Месси, где Лео пожелал удачи Верратти в новом клубе**

Фанаты поняли его намек 😮

https://sprts.cc/Z7l9yt

@sportsru",0
"😅 **Марсьяль пробыл на тренировке «МЮ» всего 5 минут.** Такое бывало почти с каждым – причина очень смешная

«Марсьяль − это Санчо наоборот» 🙃

https://sprts.cc/hX5hHT

@sportsru",0
"**😱**** Скандал в Испании: 3 игрока системы «Реала» арестованы по подозрению в распространении секс-видео с участием несовершеннолетней

**Подробности 👇

https://sprts.cc/wxM6J6

@real_sports",0
"«Процедура нейтрализации – моральный выбор каждого». **Нашим спортсменам намекнули, что ехать на Олимпиаду не стоит**

Но предложили альтернативу 🤨

https://sprts.cc/PGjUfg

@sportsru",0
"**Генич высказался о Слуцком, которого оштрафовали и отстранили от футбола на год условно**

Слова комментатора 🗣

https://sprts.cc/uW5vdy

@sportsru",0
"🦾 **Куртуа только порвал «кресты», но уже тренируется! **Не может без работы − носился по пляжу даже в медовый месяц

Заряжен 🤍

https://sprts.cc/k5R6zR

@sportsru",0
"❗️**Штраф и отстранение от футбола: Слуцкого наказали за оскорбление журналиста. **Он назвал его «19-летним дебилом»

Заступился за Дзюбу:

https://sprts.cc/wcclpR

@sportsru",0
"📉 **Россия резко рухнула в рейтинге УЕФА – позиция совсем скоро может стать антирекордной**

А когда-то были в 2 баллах от 5-го места… 😩

https://sprts.cc/0Ih3bi

@sportsru",0
"😍** Как мило!  Криштиану поддержал взволнованную фанатку –** видео завирусилось в соцсетях

Красавчик 👏

https://sprts.cc/YJCZTQ

@sportsru",0
"👀 **1 внезапный факт, который все осознали после того, как ФИФА объявила претендентов на премию The Best**

Как это вообще возможно? 🤯

https://sprts.cc/N2neeJ

@sportsru",0
"❌ **Халеп отстранили на 4 года за допинг – и Серена требует отнять у нее «Уимблдон»**

Почему Симону наказали так жестко? 😔

[https://sprts.cc/j3hVpN](https://sprts.cc/j3hVpN)

@sportsru",0
"**Бонуччи: «В «Юве» меня унизили». **Защитник дал интервью, которое сегодня взорвало всю Италию

Он не стал молчать 😬

https://sprts.cc/XhXgqG

@sportsru",0
"🗣 **Уткин высказался об обвинениях Карпина в предательстве – **тренера раскритиковали за слова об отъезде игроков из РПЛ

Вспомнил даже Конституцию России 😮

https://sprts.cc/wG3JjW

@sportsru",0
"**1 удивительный кандидат в топ-5 претендентов на приз лучшему тренеру года – **сегодня ФИФА выкатила список

Вы бы точно не назвали это имя 🤨

https://sprts.cc/oLbPAu

@sportsru",0
"❗️**Санчо отстранен от тренировок с основой «Ман Юнайтед» – клуб назвал конкретную причину бана**

Официальное заявление👇

https://sprts.cc/ogcWLP

@sportsru",0
"**Татьяна Тарасова высказалась об отъезде Дани Милохина из России и его отношении к Евгении Медведевой**

Резкий выпад 😬

https://www.sports.ru/figure-skating/1115465248?utm_source=telegram&utm_medium=figures

@figureskatingfan",0
"**1 вопрос российского клуба, на который Валерий Карпин ответил: «Вы что, дебилы совсем, что ли?»

**🤬

https://sprts.cc/CqJBkG

@sportsru",0
"**Новые детали брачного контракта Роналду и Джорджины: **условия были изменены прошлым летом

📝📝📝

https://sprts.cc/lMNhk2

@sportsru",0
"👑 **«Только он выше меня». Мостовой назвал лучшего игрока в истории «Сельты». **Сам Царь – на почетном втором месте

И высказался о месте Карпине в списке легенд клуба👇

https://sprts.cc/OandLF

@sportsru",0
"**🌟 12 лучших: ФИФА назвала претендентов на премию The Best лучшему игроку 2023 года

**Кажется, кого-то точно забыли включить в список 🙃

https://sprts.cc/PAlkI3

@sportsru",0
"🗣 **Валерия Карпина спросили, в школу в какой стране пойдет его дочь через год: в России или в Эстонии?

**Поделился планами 👇

https://sprts.cc/X1aalZ

@sportsru",0
"Живущий в США Руслан Нигматуллин не собирается возвращаться в Россию. В новом интервью он честно назвал причину

**Слова вратаря **🤔👇

https://sprts.cc/zDq9NF

@sportsru",0
"**Еще один ЧМ, куда пустили Россию: борцы в деле после спецпроверки – без флага, но с Садулаевым** 💥

26 российских заявок получили отказ ❌

https://sprts.cc/IzQQ17

@puncher_sports",0
"Фабио Каннаваро исполнилось уже 50 лет, а он все еще последний защитник, выигрывавший «Золотой мяч» 🎖

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**😬 Дмитрий Тарасов с женой выложили видео с имитацией орального секса – на заднем сидении был ребенок

**Подписчики Дмитрия в ярости 👇

https://sprts.cc/C4Zazw

@sportsru",0
"**🧐 Путин разрешил ехать на Олимпиаду в нейтральном статусе. Кто с ним не согласен, а кто резко передумал и уже согласен?

**Главное, не запутаться 🙃

https://sprts.cc/GM0emW

@sportsru",0
"**🏰 Замок короля: 7 фотографий особняка в Майами, который купил Лео Месси – так выглядит роскошь

**Лео не стал экономить 😳

https://sprts.cc/gv2FZJ

@sportsru",0
"💫 **«Про «Амкал» знали и в LA, и в Apple. Тим Кук знает про «Амкал». Сотрудник Beats о коллабе с клубом

**Рассказал, что в свое время у медиакоманды охваты были больше, чем у гранда АПЛ! 🤯

https://sprts.cc/mmxuA1

@sportsru",0
"**💔 Наша фигурная пара покорила интернет, а потом развалилась. Как Кагановская и Ангелопол добились миллионов просмотров?

**Cуперзвезды соцсетей 📲

https://sprts.cc/4Ztz6X

@sportsru",0
"👎 **Так, с лучшими трансферами разобрались, теперь посмотрим на худшие. Принцип такой же: The Athletic опрашивали агентов, а те голосовали

**Удивительно, но вся десятка так или иначе связана с переходами в / из АПЛ 🤷‍♂️

https://sprts.cc/isK47V

@sportsru",0
"**Стало известно, почему именно на Евгения Савина завели уголовное дело о дискредитации армии 

**Все дело в конкретном интервью, которое он дал еще в апреле 

https://sprts.cc/Qz5L0X

@sportsru",0
"**«Ньюкасл» или «Ньюкастл»? «Херенвен» или «Херевен»? 🎓

**Проверьте знания в «Футбольном диктанте»!
https://sirena.world/hnbxVCT",0
"🔎 **Открыт новый персонаж: мама Магуайра. Она мощно заступилась за сына из-за критики в его адрес

**Была на трибунах в тот момент, когда Харри забил в свои ворота за сборную 😳

https://sprts.cc/uLSaFY

@sportsru",0
"🙏 **Европа скорбит вместе с Марокко. А марокканские футболисты молятся и сдают кровь

**Крупнейшее землетрясение в истории страны 🇲🇦

https://sprts.cc/UDylPE

@sportsru",0
"**🏟 Стадионы каких клубов в прошлом сезоне стали самыми посещаемыми? Известны топ-10 арен из отчета УЕФА

**В лидерах две команды 🇪🇸🏴󠁧󠁢󠁥󠁮󠁧󠁿

https://sprts.cc/fAw4vF

@sportsru",0
"**За что мы полюбили Конора Макгрегора и насколько он был силен на самом деле?

**💫 Макгрегор устраивал по-настоящему великие перформансы. Это создало вокруг него культ

🤷‍♂️ Ирландец никогда не был универсальным бойцом. Его стиль был уникальным, но очень уязвимым

🧐 Почему до сих пор кажется, что за Конором осталась сила и есть шансы против Майкла Чендлера?

**Разбираемся**👇

https://sprts.cc/SE0Ai3

@sportsru",0
"**🗣 Михаил Сергачев высказался об отказе Ивана Проворова от радужного свитера: рассказал о реакции в НХЛ на этот поступок

**«Такую вот хрень сказал. Вообще чем думает? И этот человек работает там до сих пор» 😐

https://sprts.cc/txYtmC

@sportsru",0
"😜 **The Athletic опросили футбольных агентов и составили рейтинг лучших трансферов лета: вообще не угадаете, кто его возглавил

**Все справедливо? 🧐

https://sprts.cc/0DA2w3

@sportsru",0
"🤯 **Вратарь «Уфы» взял шесть пенальти из восьми: пропустил всего раз и выиграл две серии в Кубке

**Просто супергерой! 🧤

https://sprts.cc/i58IP8

@sportsru",0
"👀 **«ПСЖ» выкинул Верратти в Катар. Как так? И зачем?

**Был среди главных символов эпохи шейхов 💔

https://sprts.cc/MSEyZc

@sportsru",0
"**🤯 Что с ЦСКА? Худший старт в истории: две победы в 6 матчах (правда, СКА еще ниже)**

Антирекорды чемпиона 🥲⤵️

[https://sprts.cc/H0wG7e](https://sprts.cc/H0wG7e)

@hockey_sportsru",0
"**👀 «Ювентус» в АПЛ уже нашел замену Погба, попавшемуся на допинге

**Быстро сориентировались 🙃

https://sprts.cc/nUdCto

@sportsru",0
"😳 **ФОТО. Василий Уткин очень резко сменил имидж: «Я и сам шокирован, честно говоря»

**Как же непривычно видеть его таким! 🤯

https://sprts.cc/jksN1Q

@sportsru",0
"👏 **Красивый поступок Месси: пожелал удачи в дальнейшей карьере бывшему партнеру по «ПСЖ»

**Чуть ли не единственный игрок, с кем у Лео в парижском клубе сложились дружеские отношения 🤷‍♂️

https://sprts.cc/ohByIo

@sportsru",0
"💥 **Новый конкурс от БЕТСИТИ!

**iPhone 15 Pro, Apple Watch, AirPods и фрибеты на 50 000 ждут тебя! 

Все подробности 👇",0
"🌟🌟 **Эмблемы двух клубов РПЛ вошли в топ-100 лучших по версии портала FourFourTwo

**Согласны с выбором? 👇

https://sprts.cc/aeoIig

@sportsru",0
"**Sports.ru**** в поиске молодых талантов **✨

Бóльшая часть топовых сотрудников Спортса — воспитанники компании. Это лучшее доказательство того, что мы умеем и нанимать, и растить начинающих специалистов 💪

Ищешь первую работу? Построй свою карьеру вместе со Спортсом! 👇

https://sprts.cc/s0xT4O",0
"**🤯 Карпина назвали предателем родины и обвинили в... TikTok-философии. Но с тренером согласился Мостовой!

**Все из-за совета уезжать из РПЛ 🇷🇺

https://sprts.cc/cqTRfS

@sportsru",0
"😳 **Тухель недоволен стилем игры одного из футболистов «Баварии», хотя боссы клуба ценят игрока как бойца

**В «Мюнхене» опять проблемы? 🤷‍♂️

https://sprts.cc/7yWfxU

@sportsru",0
"**Савина проверяют на дискредитацию армии РФ. На него могут возбудить уголовное дело** (Baza)

Подробности👇

https://sprts.cc/ZfGUXK

@sportsru",0
"🗣 **Карреру спросили, правда ли он был против участия Глушакова в матче памяти Цымбаларя

**Массимо не стал уходить от ответа 👀

https://sprts.cc/pFJCHn

@sportsru",0
"**🗣 Доминик Гашек заявил, что НХЛ обязана платить Украине за то, что в лиге выступают российские хоккеисты

**Назвал даже конкретные суммы 👀

https://sprts.cc/SaAHBF

@sportsru",0
"**😉 Типичный Гарет: журналисты попросили Бэйла прокомментировал игру Джуда Беллингема в «Реале»

**Оцените, где находился валлиец в момент интервью – отгадаете с одной попытки? 🤪

https://sprts.cc/ltcZqM

@sportsru",0
"🧐 Кстати, если вам (вдруг!) было интересно узнать, бывает ли что-то длиннее названия этого клуба, а в гугл лезть не хочется, то ловите вот такое:

**Тауматафакатангихангакоауауотаматеатурипукакапикимаунгахоронукупокаифенуакитанатаху

**Осилили? Это холм высотой 305 метров в Новой Зеландии – и самый длинный топоним в мире!

**Sports.ru** **познавательный **🔎

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🤯 **Ла Лига теперь спонсор уэльского клуба, название которого не выговорить с первого раза. И со второго. И даже с тысячного!

**Самое длинное название команды в мире – там всего лишь 58 букв 🙃

Это вам не Эйяфьядлайёкюдль 😜

https://sprts.cc/PV83je

@sportsru",0
"**🗣 Тренера сборной Шотландии спросили, хотел бы он видеть Магуайра в своей команде – недавно Харри как раз забил в свои ворота в матче шотландцев с Англией

**Ответ даже не нуждается в переводе 🤷‍♂️

https://sprts.cc/tFXs1C

@sportsru",0
"😳 **«Он ничего этого не делает». Видаля попросили назвать лучшего опорника – выбор был между Каземиро и Бускетсом 

**Артуро ни секунды не сомневался в своем ответе 👀

https://sprts.cc/xPiXMH

@sportsru",0
"😳 Ох, Глушаков не попал на матч памяти Цымбаларя из-за Карреры. Когда итальянец узнал, что Денис собирается сыграть, то сразу поставил свое условие

**Тренер сказал всего 4 слова**❗️

https://sprts.cc/5bzKfh

@sportsru",0
"**Как ведущий Первого канала Артем Шейнин начал эфир после ничьи сборной России с Катаром

**😶😶😶 

https://sprts.cc/pJs3Jq

@sportsru",0
"**Карвахаль отреагировал на новость о том, что он хотел «засунуть член в глотку официантке» в России

**Заявление испанца 👇

https://sprts.cc/FoSz4e

@sportsru",0
"Как же быстро все поменялось в европейском футболе 🤯

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**Овечкин впервые ответил Гашеку. Доминик называл его «трусливым дерьмом» и критиковал НХЛ за отсутствие санкций в отношении русских игроков

**Слова Александра 👇

https://sprts.cc/xSmfHP

@sportsru",0
"⚡️😳 Началось! Бывший футболист сборной СССР Пономарев **назвал Карпина «предателем родины»** – призвал привлечь тренера к ответственности 

Объяснил свои претензии👇

https://sprts.cc/uWEOyK

@sportsru",0
"😳 🇪🇸** Тот самый переводчик сборной Испании на ЧМ-2018 раскрыл имя самого высокомерного игрока испанцев – он поступил очень некрасиво! 

**Парень просто пытался разбудить футболиста к завтраку👇

https://sprts.cc/A6gwOM

@sportsru",0
"🤯 **Скандал в шахматах: россиянин Крамник заподозрил, что его соперник Ниманн делает подозрительные ходы.** Что было дальше?

А ведь американец только вышел из судебной тяжбы с Карлсеном ♟

https://sprts.cc/cQ8FvN

@sportsru",0
"**😳 Клопп уже нашел замену Салаху: «Ливерпуль» следил за игроком несколько лет, он фаворит Юргена

**Тренер все продумал 🧠

https://sprts.cc/o93f9Z

@sportsru",0
"Безумие, но это факт: Криштиану Роналду и Зинедин Зидан НИКОГДА не вылетали из Лиги чемпионов вместе 🤯

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"**😳 «У меня семья и трое детей. Это непростое решение». Гризманн рассказал, куда поедет завершать карьеру после «Атлетико»

**Удивительно, но выбрал НЕ Саудовскую Аравию 👀

https://sprts.cc/hmFCy2

@sportsru",0
"**Месси приносит мегадоход даже Apple. Очередной эффект Лео!

**Взгляните на графики 🤑👇

https://sprts.cc/ELzY2Q

@sportsru",0
"Беллингем узнал, какую скорость ему прописали в EA FC 24. Такого игрок точно не ожидал 😬📉

**Камеры включили ради этой реакции Джуда👇

**https://sprts.cc/YcLOGk

@sportsru",0
"😳 🇪🇸 Ух, ты! Ла Лига теперь спонсор валлийского клуба с самым длинным названием в мире! В нем 5 раз встречается удвоенная «л»

**Оно настолько длинное, что едва не сломало нам сайт! 🙃

**https://sprts.cc/AawFs3

@sportsru",0
"⚡️ **Лауреат Нобелевской премии мира Ширин Эбади призвала МОК отстранить иранских атлетов от Олимпиады** – объяснила причину в письме

Она тоже родом из Ирана:

https://sprts.cc/06098S

@sportsru",0
"**Вы же помните, что Мбаппе был фанатом Роналду? Появилось видео, в котором Килиан рассуждает о Криштиану и Месси 📹

**Он рассказал, изменилось ли его отношение к двум легендам 👀

https://sprts.cc/Y7fZuv",0
"**Он ничего не боится: Мостовой отреагировал на слова Карпина, за которые его называют предателем, и ругают депутаты

**Оказывается, эту фразу первым сказал сам Царь 😳👇

https://sprts.cc/1yqyWg

@sportsru",0
"⚡️🇸🇮 39-летний Самир Ханданович завершил карьеру и сразу же нашел себе новую работу

**Красиво придумал!

**https://sprts.cc/3ea1m9

@sportsru",0
"😮 **Еще одного игрока АПЛ забанили за несоблюдение регламента о ставках.** Дисквалификация продлится до конца сезона 2024/25

Целых 375 (!) нарушений👇🏻😬

https://sprts.cc/5L6tk0",0
"🚓 Камил Гаджиев – об аресте братьев Асхабовых в Тайланде: **«Если ты забирал свое, но попался, то уже что-то неправильно сделал»

**Рассказал об отношении к закону в стране:

https://sprts.cc/NSgTZj

@sportsru",0
"🥺 Красивый поступок:** **фанат «Реала» потерял всю семью во время землетрясения в Марокко. Клуб начал поиски пострадавшего

**Перес приготовил сюрприз для парня 👏

**https://sprts.cc/lXDj3A

@sportsru",0
"Вы ни за что не догадаетесь! Бренд-менеджер Adidas рассказала, форма какого российского клуба продавалась в России лучше всего 😳👕

**Ее покупали чаще «Реала», хотя клуб даже не играет в РПЛ👇

**https://sprts.cc/Hb0utB

@sportsru",0
"Ого, у нидерландского журналиста есть теория о спаде Ван Дейка. Согласно ей – виноват в этом другой футболист! 

**А ведь все реально сходится **😳❗️**

**https://sprts.cc/U4w9A0

@sportsru",0
"👀 Ох, Глушаков не сыграл в матче памяти Цымбаларя из-за Карреры. Когда итальянец узнал, что Денис собирается сыграть, то сразу поставил свое условие

**Тренер сказал всего 4 слова 🗣

**https://sprts.cc/5bzKfh

@sportsru",0
"🇩🇪 Сборная Германии ищет главного тренера: Феллер отвалился, Ван Гал готов, есть фаворит 

**Уже активно ведут переговоры:

**https://sprts.cc/3IiMaS

@sportsru",0
"⚡️ Реакция «Ювентуса» на дисквалификацию Погба из-за допинга: клуб уже принял важную меру

**Внезапно, но «бьянконери» даже в выигрыше! 😮👇

**https://sprts.cc/dbHUc0

@sportsru",0
"**«Фанаты называют меня предателем?». Изидор нашел что ответить болельщикам «Локомотива» ****🗣**

Очень ждет игру против теперь уже бывшей команды

https://sprts.cc/JwEZAi

@zenit_sports",0
"А вот это внезапно! Том Холланд встал на защиту Магуайра – разобрал его автогол в матче с Шотландией 😵‍💫💢

**Человек-паук дал пару советов Харри**:

https://sprts.cc/GzUCid

@sportsru",0
"СКА вписался в потолок зарплат, хотя бессовестно пробивал его. Что за мутные схемы?

**Ротенберг нашел лазейку в правилах 😮👇

**https://sprts.cc/oN4GJB

@sportsru",0
"Безумный факт дня: Пеле и Ромелу Лукаку забили одинаковое количество голов за сборные (77) 🤯

Только 13 футболистов в истории забили за сборные больше, чем бельгиец 👏

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🫢 «Слабоватый парень». Сабо раскритиковал Мудрика – рассказал, чем игра за «Шахтер» отличается от АПЛ 

**И привел в пример легенду 🤝

**https://sprts.cc/gpYDoL

@sportsru",0
"⚡️😳 Началось! Бывший футболист сборной СССР Пономарев **назвал Карпина «предателем родины»** – призвал привлечь тренера к ответственности 

Объяснил свои претензии👇

https://sprts.cc/uWEOyK

@sportsru",0
"📹 **«Я теперь видеооператор, снимаем клип». Загитова показала видео из Сочи

**В комментариях нашли к чему придраться 🙄** ⤵️

**https://sports.ru/figure-skating/1115462951.html?utm_source=telegram&utm_medium=figurea

@figureskatingfan",0
"🗣 **«Кто нам запрещает?» Депутат Журова нашла для сборной России необычного соперника 

**Очень актуально👇

https://sprts.cc/sfIMgU

@sportsru",0
"🧤 **Матвей Сафонов сыграл за сборную в перчатках Spire – первым в истории национальной команды. Таких нет еще даже в продаже, зато их можно выиграть

**Все условия тут 👇

https://t.me/sports_MF/9933

@sportsru",0
"😳 🇪🇸 Тот самый переводчик сборной Испании на ЧМ-2018 раскрыл имя самого высокомерного игрока испанцев – он поступил очень некрасиво! 

Парень просто пытался разбудить футболиста к завтраку👇

https://sprts.cc/A6gwOM

@sportsru",0
"⚡️** ОФИЦИАЛЬНО:** Марко Верратти стал футболистом «Аль-Араби» из Катара

Уехал в поисках лучшей жизни 👋

https://sprts.cc/C2McP8

@sportsru",0
"**❤️‍🔥 «Величайший спортсмен всех времен»**. Джокович привез 24-й «шлем» в Белград. Такой прием получала не каждая футбольная команда

Как же его любят на родине! 🔥

https://sprts.cc/cPXhrz

@sportsru",0
"🙃 🔊 Две претензии к Санчо, которые выразил не только Тен Хаг, но и футболисты «МЮ» – не постеснялись! 

**У всех же есть знакомый с такими привычками?👇

**https://sprts.cc/K8xp5n

@sportsru",0
"🤯🤑 Топ-20 клубов, потративших на свои составы больше всех – «Сити» только третий, «Астон Вилла» выше «Барсы» и «Баварии»

**А на первом месте клуб с 0 крупных трофеев за 10 лет 😬👇**

https://sprts.cc/dgLZ8S

@sportsru",0
"Экспертное мнение: **лыжница Вероника Степанова тоже высказалась об отставке Рубиалеса за** **поцелуй

**Кажется, с ней впервые согласились в комментариях 😮👇

https://sprts.cc/QHBsmq

@sportsru",0
"💀🇩🇪 Флик был обречен. Скандальная документалка о Германии на ЧМ-2022

**Конфликты в раздевалке, споры на тренировках и ноль энтузиазма

**❌❌❌

https://sprts.cc/IeWsOO

@sportsru",0
"⭐️ Fantasy Лиги чемпионов возвращается! 🤩 Холанд, Мбаппе, Кейн – кого возьмете в свою команду? 

⚽️ Приглашайте друзей, создавайте лиги и выигрывайте крутые призы! Собрать команду мечты👇

https://www.sports.ru/fantasy/football/champions-league/?ref=soc&?ref2=flag

@sportsru",0
"⚡️😳 Совет Карпина «уезжать российским футболистам в Европу» разозлил депутата Госдумы РФ. **Он назвал это TikTok-философией, глупостью и чушью

**Вот только почему-то в комментариях не встали на сторону депутата 🙃

https://sprts.cc/AYSO5p

@sportsru",0
"**Овечкин впервые ответил Гашеку. Доминик называл его «трусливым дерьмом» и критиковал НХЛ за отсутствие санкций в отношении русских игроков**

Слова Александра 👇

https://sprts.cc/xSmfHP

@sportsru",0
"❌ 🇫🇷 **Нет улиткам:** новичок «Гавра» Далер Кузяев рассказал, по какому русскому продукту скучает во Франции больше всего

**«В России я ел ее каждый день» **😮🍽**

**https://sprts.cc/rWXItL

@sportsru",0
"🥬** «В моем рационе было только 4 продукта». Хотите тело Сталлоне из «Рокки 3?» Великий актер признался, что именно он ел, готовясь к роли

**Записывайте 📝

https://sprts.cc/NGYjOm

@sportsru",0
"**Хамзат Чимаев запостил сторис, которую заблокировал инстаграм. Но в сети уже появился скриншот
**
«Я ее не удалял. Ее заблокировали»👇 

https://sprts.cc/OFHJUy

@sportsru",0
"**Тимощук высказался о концерте Shaman на «Газпром Арене». Исполнитель собрал больше зрителей, чем последние матчи «Зенита» 
**
🗣️🗣️🗣️

https://sprts.cc/TPUA5w

@sportsru",0
"🍻** «В семь утра они пришли ко мне и попросили еще пива». Переводчик рассказал, как игроки сборной Испании нарушали режим во время ЧМ-2018 
**
Лишь 1 человек в сборной проводил выходные с семьей 😐

https://sprts.cc/xGFKe6

@sportsru",0
"Форвард, которого боятся все вратари. Свои 🙈

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"❗️**Сантуш покинет сборную Польши спустя 5 матчей. **Только Фарерские острова выступили хуже в группе E отбора на Евро

Грустная статистика👇

https://sprts.cc/EfImqG

@sportsru",0
"**Тренер Коста-Рики прямо во время матча узнал, что его ассистент умер. **В этот момент его команда играла первый тайм с ОАЭ**
**
«Я изо всех сил старался оставаться профессионалом во втором тайме» 

https://sprts.cc/AUfcjn

@sportsru",0
"**Карвахаль отреагировал на новость о том, что он хотел «засунуть член в глотку официантке» в России
**
Заявление испанца 👇

https://sprts.cc/FoSz4e

@sportsru",0
"Он бегает быстрее, чем сам Лео 😅

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"📊** Издание Goal опубликовало список фаворитов Евро-2024. **Хорватия лишь шестая, Германия восьмая, а Италия не попала даже в топ-10**
**
И кто помешает главному фавориту? 🧐

https://sprts.cc/Q9RboQ

@sportsru",0
"😮** При переходе в «МЮ» Санчо получил от клуба обещание, о котором журналисты узнали только сейчас. «Юнайтед» его не выполнил
**
Кому угодно было бы обидно 🤷‍♂️

https://sprts.cc/MuVvv0

@sportsru",0
"**«Не люблю их и считаю опасными». Тренер «Торпедо» Клотет рассказал, что его не устраивает в Москве**

В комментах с ним многие согласны 🤨

https://sprts.cc/R1vVa8

@sportsru",0
"Как Белград встретил Новака Джоковича после победы на US Open 🤯🤩

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🤯** Карвахаль на ЧМ-2018 в России просил передать официантке, что хочет «засунуть член ей в глотку»**, **а Де Хеа провел ночь с одной из девушек, хотя уже встречался с будущей женой**

Об этом рассказал переводчик сборной Испании 😳

Подробности 👇

https://sprts.cc/IgpGOG

@sportsru",0
"❌** Не Месси и Роналду: звезда «Реала» Вальверде удивил всех своим выбором кумира детства
**
Пошел против трендов 😉

https://sprts.cc/6dwGK8

@sportsru",0
"**Как ведущий Первого канала Артем Шейнин начал эфир после ничьи сборной России с Катаром
**
😶😶😶 

https://sprts.cc/pJs3Jq

@sportsru",0
"😳** Что это было? Дикий момент из матча сборной Узбекистана с участием бывшего партнера Роналду
**
😮😮😮 

https://sprts.cc/okRT7Z

@sportsru",0
"🤷‍♂️** «Мне не нужны деньги, но теперь я поговорю с адвокатом». Поступок Антони, разозливший банкира Ингрид Лану, **которая обвинили его в насилии  

«Поступок мудака» 😡

https://sprts.cc/q5VRXI

@sportsru",0
"На поле Беллингем точно внимательнее 😅

Полузащитник после матча случайно зашел в автобус украинской сборной 🚌

Только после подсказки от сотрудника Джуд пошел в правильную сторону 😄

▶️ [**Подписывайтесь на главный](https://t.me/sportsru)** [**телеграм о спорте](https://t.me/sportsru)**",0
"🤑** Ого, у «МЮ» будет новый титульный спонсор со следующего сезона.** Глейзеры заключили крупнейшую сделку в истории 

Обошли даже контракт «Реала» с Emirates 😳

https://sprts.cc/4MoHqV

@sportsru",0
"🧙‍♂️** Неймара заколдовали шаманы – чтобы плохо играл против Перу. Помогло?**

Кажется, проклятие зацепило другого футболиста 😳

https://sprts.cc/GLryrm

@sportsru",0
